Description,$V$ $[m/s]$,$X_D$ $[N]$,$Y_D$ $[Nm]$,$N_D$ $[Nm]$
zigzag20/20,0.9617697638981232,1.103561247427642,1.6526530568905866,3.658280442542031
zigzag20/20,0.9617697638981232,1.1721118960304135,2.18000992073728,3.8902807231489533
zigzag10/10,0.9617697638981232,1.39082960825081,2.084051273116647,1.9347088162663233
zigzag10/10,0.9617697638981232,1.378284703410379,1.7084622629644763,1.8582860348321981
yaw rate,0.9617697638981232,1.0390226691785487,0.4824993810465057,0.6415726799468499
yaw rate,0.9617697638981232,0.9088456739424705,0.4421752256231898,0.7765247300447177
yaw rate,0.9617697638981232,1.5721928356457562,0.4629927520611396,0.6099867941020436
yaw rate,0.9617697638981232,1.1312070535997203,0.5409724026217687,0.8766475912090242
yaw rate,0.9617697638981232,1.3755382215549194,0.6299969171860308,0.6298687897016497
reference speed,0.9617697638981232,1.2551573350199032,0.21924147645955605,0.5039705176223759
reference speed,0.801474803248436,1.0360948910883927,0.4029347796124727,0.4621044141511136
reference speed,0.6411798425987488,0.6862258977331738,0.388089414025749,0.3591878437026539
