Parameter,Value,Parameter1,Value1,Parameter2,Value2
$A_{R C}$,0.013622720096144783,$\kappa_{r \gamma g}$,1.033860288924733,$e_{0}$,0.9
$A_{R U}$,0.01647301230087661,$\kappa_{r}$,1.1692699494533285,$r_{0}$,0.06067961165048543
$A_{R}$,0.030095732397021395,$\kappa_{v \gamma g}$,0.033913057303963226,$s$,-10.0
$C_{D tune}$,1.0807788910260494,$\kappa_{v}$,0.8893921387071696,$w_{f}$,0.297
$C_{D0 tune}$,7.820651568531009,$\nu$,1.18849e-06,$x$,0.027800910486710073
$C_{L tune}$,1.0,$\rho$,1000.0,$x_{H}$,0.12495489987343933
$\Omega$,0.0,$a_{H}$,0.12824552804749745,$x_{R}$,-2.45
$\delta_{lim}$,0.2617993877991494,$b_{R}$,0.17427184466019416,$y_{R}$,0.0
$\gamma_{0 port}$,0.044,$c_{r}$,0.14660194174757282,$y_{p port}$,-0.2176
$\gamma_{0 stbd}$,-0.044,$c_{t}$,0.19878640776699028,$y_{p stbd}$,0.2176
